Date,Close/Last,Volume,Open,High,Low
03/17/2016,$74.25,9421522,$73.76,$74.3701,$73.51
03/16/2016,$73.50,7700351,$72.01,$73.66,$71.86
03/15/2016,$72.23,8371271,$72.62,$72.84,$71.75
03/14/2016,$73.35,11059110,$74.01,$74.4199,$72.89
03/11/2016,$74.01,11203480,$72.58,$74.01,$72.22
03/10/2016,$71.97,11246900,$72.50,$73.05,$70.605
03/09/2016,$72.43,7276478,$71.59,$72.61,$70.68
03/08/2016,$71.07,8658430,$72.40,$72.65,$70.96
03/07/2016,$72.89,11037310,$72.20,$73.98,$72.00
03/04/2016,$72.22,10757150,$70.96,$72.96,$70.72
03/03/2016,$71.02,11594120,$71.31,$72.59,$70.46
03/02/2016,$71.25,10500290,$72.04,$72.04,$70.75
03/01/2016,$70.86,13999100,$70.02,$71.84,$69.86
02/29/2016,$68.81,17982150,$67.64,$70.58,$67.56
02/26/2016,$66.91,12064220,$68.09,$68.83,$66.86
02/25/2016,$66.66,14661780,$65.67,$66.72,$64.66
02/24/2016,$67.23,10773710,$66.17,$67.69,$65.21
02/23/2016,$66.97,12876500,$68.50,$68.66,$66.465
02/22/2016,$68.84,13353350,$68.30,$69.53,$67.98
02/19/2016,$67.28,12321100,$66.80,$67.75,$66.09
02/18/2016,$66.52,14529100,$67.00,$68.50,$66.23
02/17/2016,$66.38,14446720,$67.17,$67.39,$65.68
02/16/2016,$66.29,21714330,$64.42,$66.89,$64.04
02/12/2016,$60.89,13663750,$61.27,$62.78,$60.28
02/11/2016,$60.57,14996110,$60.25,$61.63,$59.85
02/10/2016,$61.78,8995441,$61.90,$63.09,$60.87
02/09/2016,$61.39,12733460,$60.11,$62.22,$59.25
02/08/2016,$61.10,16151610,$60.90,$62.05,$60.45
02/05/2016,$62.64,12807190,$64.71,$64.86,$62.18
02/04/2016,$64.86,22893850,$64.33,$65.72,$63.10
02/03/2016,$63.44,31907620,$65.60,$65.73,$60.87
02/02/2016,$65.09,19140890,$67.05,$67.7399,$64.66
02/01/2016,$67.03,16176000,$66.50,$67.70,$65.35
01/29/2016,$67.03,25573130,$67.98,$68.93,$65.40
01/28/2016,$66.92,33122370,$72.55,$73.15,$66.67
01/27/2016,$69.54,18182870,$69.96,$71.42,$68.745
01/26/2016,$69.77,11459120,$69.01,$70.19,$68.88
01/25/2016,$69.72,14760560,$70.80,$70.80,$69.02
01/22/2016,$70.37,15800430,$72.51,$73.34,$69.89
01/21/2016,$70.72,16552530,$68.78,$71.65,$67.1437
